category,item,cost_bucket,potential_abatement_mtco2eq,icon,is_uncertainty,potential_frac,cost_bucket_potential_rank
Other,Reduce CH4 emissions from solid waste,0-20 USD,108.2,NA,FALSE,0.17437550362610799,5
Buildings,New buildings with high energy performance,0-20 USD,115.4,buildingadd,FALSE,0.09812925170068028,6
Buildings,New buildings with high energy performance,20-50 USD,115.4,buildingadd,FALSE,0.09812925170068028,8
Buildings,New buildings with high energy performance,50-100 USD,115.4,buildingadd,FALSE,0.09812925170068028,9
Buildings,Improving existing building stock,Uncertainty,120.1,buildingup,TRUE,0.449981266391907,2
AFOLU,Reduced conversion of forests and other ecosystems,20-50 USD,122.7,forest,FALSE,0.03058477491400369,9
Industry,Cementitious material substitution,Uncertainty,127.4,NA,TRUE,0.45273631840796025,3
Other,Reduce CH4 emissions from solid waste,Uncertainty,134.6,NA,TRUE,0.2169218372280419,4
Energy,Bioelectricity with CCS,50-100 USD,151.5,NA,FALSE,0.5,10
Energy,Bioelectricity with CCS,100-200 USD,151.5,NA,FALSE,0.5,6
AFOLU,"Ecosystem restoration, afforestation, reforestation",0-20 USD,151.5,forest,FALSE,0.05356385235468816,7
Industry,"Fuel switching (electric, natural gas, bio-energy, hydrogen)",100-200 USD,151.5,fuelcell,FALSE,0.07240489390173964,7
Industry,Carbon capture with utilisation (CCU) and CCS,100-200 USD,151.5,NA,FALSE,1,8
Energy,Nuclear energy,Negative,173.2,nuclear,FALSE,0.1967287596547024,3
Energy,Nuclear energy,20-50 USD,173.2,nuclear,FALSE,0.1967287596547024,10
Energy,Nuclear energy,50-100 USD,173.2,nuclear,FALSE,0.1967287596547024,11
Transport,Shifting to bikes and e-bikes,Uncertainty,178.1,bicycle,TRUE,0.9493603411513859,5
Industry,"Feedstock decarbonisation, process change",Uncertainty,178.1,industry,TRUE,0.4657426778242678,6
Energy,Nuclear energy,0-20 USD,180.4,nuclear,FALSE,0.2049068605179464,8
Energy,Nuclear energy,100-200 USD,180.4,nuclear,FALSE,0.2049068605179464,9
Other,Reduce emission of fluorinated gas,20-50 USD,180.4,NA,FALSE,0.1462030958748683,11
Transport,Aviation - energy efficiency,Uncertainty,185.3,plane,TRUE,0.828341528833259,7
Transport,Shifting to bikes and e-bikes,Negative,187.6,bicycle,FALSE,1,4
Buildings,Enhanced use of wood products,Uncertainty,192.6,NA,TRUE,0.5036610878661087,8
Transport,"Electric heavy-duty vehicles, incl. buses",Uncertainty,199.8,electricbus,TRUE,0.9550669216061186,9
Industry,Reduction of non-CO2 emissions,0-20 USD,202,NA,FALSE,1,9
Transport,"Electric heavy-duty vehicles, incl. buses",Not allocated,209.2,electricbus,FALSE,1,1
AFOLU,Improved sustainable forest management,100-200 USD,216.5,forest,FALSE,0.15792545043402142,10
Transport,Aviation - energy efficiency,Negative,223.7,plane,FALSE,1,5
Industry,Enhanced recycling,Uncertainty,228.7,recycle,TRUE,0.48026039479210414,10
Transport,Biofuels,0-20 USD,230.9,NA,FALSE,0.3299042720388627,10
Transport,Biofuels,50-100 USD,230.9,NA,FALSE,0.3299042720388627,12
Industry,Carbon capture with utilisation (CCU) and CCS,Uncertainty,236,NA,TRUE,1.5577557755775577,11
Transport,Biofuels,20-50 USD,238.1,NA,FALSE,0.3401914559222746,12
